Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
8;ZS/ZMP;Vjeronauka;B;8;V12;Vrednovanje djela u zakonu Božijem;Ne;;Ne;;Ne;;;2;;ZPM-32-a, ZPM-32-b, ZPM-32-c, ZPM-32-d ;2;;ZS-31-a;1;ZS-31-b;;0;;
9;ZS/ZMP;Vjeronauka;B;8;V12;Prijevod Kur'ana na bosanskom jeziku;Ne;;Ne;;Ne;;;2;;ZS-34, ZS-36, ZS-37, ZPM-36-a;1;ZPM-34-c, ZPM-34-d, ZPM-34-e, ZPM-37-c;;0;;;2;;ZPM-34-a
10;ZS/ZMP;Vjeronauka;B;8;V12;Čuvanje tradicije;Da;nejednakost ZPM-40-a;Ne;;Ne;;;1;ZS-41, ZPM-50-a, ZPM-51-a, ZPM-51-b, ZPM-51-c;;2;;ZS-39 ;2;;ZS-42 ;0;;
11;ZS/ZMP;Vjeronauka;B;8;V12;Božiji poslanici - naši učitelji;Ne;;Da;odgovornost ZPM-44-b, jednakost ZPM-46-a;Da;pobožnost ZPM-44-a, ZPM-44-b;redukcija ZPM-44-a, ZPM-44-b;1;ZS-45-b ;;2;;ZS-45-a;1;ZS-46;;0;;
12;ZS/ZMP;Vjeronauka;B;8;V12;Mudrost u prosuđivanju;Ne;;Da;jednakost ZS-49-b, odgovornost ZPM-48-a, ZPM-48-d,  ZPM-48-e,  ZPM-48-f, mir ZPM-49-c, sloboda ZPM-49-f;Da;pobožnost ZPM-47-a, ZPM-48-b, ZPM-48-d, ZPM-48-e, ZPM-48-f;ignorancija ZS-49-b, redukcija;2;ZS-50-a;ZS-48-a, ZS-49-c ;1;ZS-50-b, ZPM-48-b, ZPM-48-c, ZPM-49-g, ZPM-49-h, ZPM-49-I, ZPM-50-a ;;1;ZS-48-b, ZS-49-a;;0;;
13;ZS/ZMP;Vjeronauka;B;8;V12;Blagodati Božije nas približavaju Bogu;Ne;;Ne;;Ne;;;1;ZS-52-c, ZS-53, ZPM-54-c;ZS-52-a, ZS-52-b ;2;ZPM-52-a, ZPM-52-b;ZS-54-a ;0;;;1;ZPM-54-c ;
14;ZS/ZMP;Vjeronauka;B;8;V12;Greške, grijesi I posljedice;Ne;;Da;odgovornost ZS-56, ZPM-55-a, ZPM-56-a;Da;pobožnost ;redukcija;1;ZS-58, ZPM-57-a, ZPM-57-b, ZPM-58-a, ZPM-59-a, ZPM-59-b, ZPM-59-c, ZPM-59-d, ZPM-59-e, ZPM-59-f ;ZS-59-b;2;;ZS-55, ZS-57-a, ZS-59-a;1;ZS-57-b, ZPM-59-c, ZPM-59-f;;0;;
15;ZS/ZMP;Vjeronauka;B;8;V12;Priznanje I vlastita odgovornost;Ne;;Da;odgovornost ZPM-60-a, ZPM-60-b, ZPM-60-c , ZPM-60-d, ZPM-60-e, saradnja ZPM-61-b;Da;pobožnost ;redukcija;1;ZS-62-a, ZPM-62-c;;2;;ZS-61, ZS-63-a;1;ZS-62-b;;1;ZS-62-c;
16;ZS/ZMP;Vjeronauka;B;8;V12;Savjest kao ogledalo moje duše;Ne;;Da;odgovornost ZPM-66-a;Da;pobožnost ;redukcija;1;ZS-66-b, ZPM-57-a, ZPM-57-b, ZPM-57-c ;ZS-64;1;ZS-65-a, ZPM-64-b, ZPM-65-a, ZPM-65-b, ZPM-66-a;ZS-67;0;;;0;;
17;ZS/ZMP;Vjeronauka;B;8;V12;Život u vjeri, ljubavi I nadi;Ne;;Da;život ZS-69, ZPM-68-a, ZPM-68-c, odgovornost ZPM-68-b, ZPM-69-e;Da;pobožnost;redukcija;0;;ZS-70-a;1;ZS-70-b, ZPM-70-c, ZPM-70-d;ZS-70-c;2;;;2;;ZS-68, ZPM-69-d
18;ZS/ZMP;Vjeronauka;B;8;V12;Prolaznost I vječnost;Ne;;Da;jednakost ZPM-71-a;Da;pobožnost ;mistifikacija ZPM-71-a, redukcija ZPM-72-a, ZPM-72-b, ZPM-72-c ;2;;ZS-72-a, ZS-74 ;1;ZPM-75-b;;0;;;1;ZS-75-a;
19;ZS/ZMP;Vjeronauka;B;8;V12;Radost vječnog života;Ne;;Da;odgovornost, saradnja ZPM-76, ZPM-77, ZPM-78-a;Da;pobožnost;redukcija;2;;ZS-77;2;ZPM-77-b;ZS-79-b ;1;ZS-79-a;;0;;
20;ZS/ZMP;Vjeronauka;B;8;V12;Posljedica griješenja;Ne;;Da;život, solidarnost ZPM-80-a, odgovornost ZPM-80-b, ZPM-82-a, ZPM-82-b, saradnja ZPM-81-a, ZPM-81-b;Da;pobožnost;redukcija;1;ZS-83-a;;2;;ZS-81, ZS-84;1;ZS-83-b ;;0;;
21;ZS/ZMP;Vjeronauka;B;8;V12;Moralnost u životu;Ne;;Da;saradnja ZS-87-a, odgovornost ZPM-85-a;Da;porijeklo ZS-87-a, pobožnost;ignorancija ZS-87-a, redukcija;2;ZPM-87-b, ZPM-87-c;ZS-86-a, ZS-86-b ;1;ZPM-86-a, ZPM-86-b;ZS-87-c, ZS-86-c, ZS-87-b;0;;;0;;
22;ZS/ZMP;Vjeronauka;B;8;V12;Kako biti moralan;Ne;;Ne;;Ne;;;2;ZPM-88-a, ZPM-89-f, ZPM-89-g;ZS-89-b ;2;ZPM-89-c;ZPM-89-a ;1;ZPM-89-d, ZPM-89-g;;0;;
23;ZS/ZMP;Vjeronauka;B;8;V12;Šta čovjeka čini čovjekom;Ne;;Da;pluralizam, jednakost ZPM-90-a, ZPM-90-b, ZPM-90-c;Ne;;;1;ZS-91-b, ZPM-92-a;ZS-91-a, ZS-92-b;1;ZS-92-c, ZPM-92-b;;1;ZPM-92-c;;1;;ZS-91-c, ZS-92-a
24;ZS/ZMP;Vjeronauka;B;8;V12;Razvoj zajednice muslimana;Ne;;Ne;;Ne;;;2;;ZS-98, ZS-93, ZPM-95-a;1;ZS-97, ZPM-96-a, ZPM-97-a;ZS-95;0;;;0;;
25;ZS/ZMP;Vjeronauka;B;8;V12;Oblici muslimanskog zajedništva;Da;nejednakost ZPM-99-d;Da;solidarnost, saradnja ZPM-99-a, ZPM-99-b, jednakost ZPM-100-a, ZPM-100-b;Da;pobožnost;redukcija;2;;ZS-102;2;ZPM-101-b, ZPM-101-c ;ZS-101-a ;0;;;2;;ZS-99-a
26;ZS/ZMP;Vjeronauka;B;8;V12;Nastanak I razvoj Islamske zajednice u Bosni I Hercegovini;Da ;viktimologija ZPM-103-a, neodgovoranpristupprošlosti ZPM-104-a, ZPM-105-a, ZPM-105-b;Ne;;Ne;;;2;ZPM-106-b;ZPM-106-a;2;;ZS-106;0;;;0;;
27;ZS/ZMP;Vjeronauka;B;8;V12;Islamska zajednica danas;Ne;;Ne;;Ne;;;1;ZPM-109-b, ZPM-109-c, ZPM-109-d, ZPM-109-e, ZPM-109-f;;2;;ZS-109-a;0;;;0;;
28;ZS/ZMP;Vjeronauka;B;8;V12;Kako se nekad u Bosni živjelo;Da;nejednakost, religijskiekskluzivizam ZPM-111-d;Ne;;Ne;;;1;ZPM-111-a, ZPM-111-b, ZPM-113-d;;2;;ZS-111-a, ZS-113-a;0;;;2;;ZPM-111-c
29;ZS/ZMP;Vjeronauka;B;8;V12;Šeheri u Bosni I Hercegovini;Ne;;Ne;;Ne;;;1;ZPM-114-a, ZPM-117-a, ZPM-117-b, ZPM-117-c, ZPM-117-d, ZPM-117-e, ZPM-117-f, ZPM-117-g;;2;ZPM-114-b, ZPM-114-c ;ZS-114, ZS-117-a, ZS-117-b;0;;;2;;ZS-116
30;ZS/ZMP;Vjeronauka;B;8;V12;Objekti nastali iz duhovnosti;Da;viktimologija ZPM-120-a;Da;stvaralaštvo, različitost ZPM-119-a, ZPM-119-b;Ne;;;2;ZPM-124-a, ZPM-125-a, ZPM-125-b, ZPM-125-c;ZPM-124-a;2;;ZS-121, ZS-124-a;0;;;0;;
31;ZS/ZMP;Vjeronauka;B;8;V12;Mubarek dani I noći;Ne;;Ne;;Ne;;;2;;ZS-130-b, ZPM-133-a;2;;ZS-130-a, ZS-133-a ;1;ZS-133-b;;0;;
32;ZS/ZMP;Vjeronauka;B;8;V12;Ibadet u odabranim danima I noćima;Ne;;Da ;solidarnost ZS-135;Da;pobožnost ;redukcija;2;;ZPM-137-a;2;;ZS-136, ZS-137;0;;;0;;
1;ZPM/NI;Vjeronauka;S;8;V8;O crkvi uopšte;Ne;;Ne;;Ne;;;2;;NI-5, NI-6;2;;NI-7;2;;;0;;
2;ZPM/NI;Vjeronauka;S;8;V8;Istovjetnost crkve I hrama Bogoslužnog mjesta;Ne;;Ne;;Ne;;;2;;NI-8-2;2;;NI-8-4, NI-9;2;;NI-8-3;0;;
3;ZPM/NI;Vjeronauka;S;8;V8;O Bogu;Da;neravnopravnost ZPM-11-a;Ne;;Ne;;;2;;NI-10-1, NI-10-2, NI-10-3, NI-10-4, NI-11-1, NI-11-3, NI-12-1, NI-12-2, NI-12-3, NI-12-4;2;;NI-11-2, NI-12-5;2;;NI-10-1;0;;
4;ZPM/NI;Vjeronauka;S;8;V8;O svijetu I čovjeku - postanak svijeta, materijalni I duhovni svijet;Ne;;Ne;;Ne;;;2;;;2;;NI-14-3;2;;NI-13, NI-14-1, NI-14-2;0;;
5;ZPM/NI;Vjeronauka;S;8;V8;O čovjeku ;Da;neravnopravnost NI-15-1 ;Ne;;Ne;;;2;;;2;;NI-16, NI-15-2, NI-15-3, NI-15-4;2;;;0;;
6;ZPM/NI;Vjeronauka;S;8;V8;Besmrtnost duše;Ne;;Da;jednakost ZPM-18-c;Da;pobožnost, patrijarhat;redukcija, mistifikacija;2;;NI-18-1, NI-18-2;2;;NI-18-5, NI-18-3;2;;NI-18-4;0;;
7;ZPM/NI;Vjeronauka;S;8;V8;Pogrešne teorije o postanku svijeta I života;Da;pluralizamkaoproblem, neravnopravnost NI-19-1;Ne;;Ne;;;2;;NI-19-2;2;;NI-20-1, NI-20-2;2;;;0;;
8;ZPM/NI;Vjeronauka;S;8;V8;Hrišćansko učenje o prvobitnom stanju čovjeka;Da;neravnopravnost NI-21-2;Ne;;Ne;;;2;;NI-22-1, NI-22-2;2;;NI-22-3;2;;NI-21-1;0;;
9;ZPM/NI;Vjeronauka;S;8;V8;O božijem promislu;Ne;;Ne;;Ne;;;2;;;2;;NI-23-3, NI-23-4;2;;NI-23-1, NI-23-2;0;;
10;ZPM/NI;Vjeronauka;S;8;V8;O fatalizmu;Ne;;Ne;;Ne;;;2;;NI-25-1, NI-25-2;2;;NI-26-2;2;;NI-26-1;0;;
11;ZPM/NI;Vjeronauka;S;8;V8;Neosnovanost prigovora da Hristos nije historijska ličnost;Ne;;Ne;;Ne;;;2;;NI-27-2;2;;NI-28-3;2;NI-27-3, NI-28-1, NI-28-2;NI-27-1 ;0;;
12;ZPM/NI;Vjeronauka;S;8;V8;Vaskrsenje Hristovo kao temelj hrišćanske istine;Ne;;Ne;;Ne;;;2;;NI-29-1;2;;NI-29-3;2;;NI-29-2;0;;
13;ZPM/NI;Vjeronauka;S;8;V8;O Bogu - Duhu Svetom;Ne;;Ne;;Ne;;;2;;;2;;NI-30-4, NI-30-1;2;;NI-30-2, NI-30-3;0;;
14;ZPM/NI;Vjeronauka;S;8;V8;Cilj I svojstvo Crkve;Ne;;Ne;;Ne;;;2;;;2;;NI-31-1, NI-31-2, NI-31-3, NI-32-1, NI-32-2;2;;;0;;
15;ZPM/NI;Vjeronauka;S;8;V8;Zagrobni život;Ne;;Ne;;Ne;;;2;;NI-33-1;2;;NI-34-2;1;NI-33-2;;0;;
16;ZPM/NI;Vjeronauka;S;8;V8;Poseban sud poslije smrti;Ne;;Ne;;Ne;;;2;;;2;;NI-35, NI-36;2;;;0;;
17;ZPM/NI;Vjeronauka;S;8;V8;Vaskrsenje mrtvih;Ne;;Ne;;Ne;;;2;;NI-38-1, NI-38-2;2;;NI-38-3;2;;;0;;
18;ZPM/NI;Vjeronauka;S;8;V8;O sektama;Da;pluralizamkaoproblem ZPM-39-a, ZPM-39-b, ZPM-39-c, ZPM-39-d, neprijateljstvo ZPM-40-a, ZPM-40-b;Ne;;Ne;;;2;;NI-40-1, NI-40-3;2;;NI-41;2;;NI-40-2, NI-40-4;2;;ZPM-39-c, ZPM-39-d 
19;ZPM/NI;Vjeronauka;S;8;V8;Jehovini svjedoci;Ne;;Ne;;Ne;;;2;;;2;;NI-42-4;2;;NI-42-3;0;;
20;ZPM/NI;Vjeronauka;S;8;V8;Satanisti;Ne;;Ne;;Ne;;;2;;;2;;NI-43-2;2;;NI-43-1;0;;
21;ZPM/NI;Vjeronauka;S;8;V8;Adventisti;Ne;;Ne;;Ne;;;2;;NI-44-1, NI-44-2;2;;NI-44-4;2;;NI-44-3;0;;
22;ZPM/NI;Vjeronauka;S;8;V8;Pentakostalci - postanak;Ne;;Ne;;Ne;;;2;;NI-45-3;2;;NI-45-1, NI-45-4, NI-45-3;2;;;0;;
23;ZPM/NI;Vjeronauka;S;8;V8;Vječni život;Da;pluralizamkaoproblem, nejednakost ZPM-46-b, neravnopravnost, isključivost NI-46-4;Ne;;Ne;;;2;;NI-46-2, NI-46-3;2;;NI-46-1, NI-46-5;2;;;0;;
1;ZS/ZPM;Vjeronauka;S;6;V6;Istorija hrišćanske crkve;Ne;;Ne;;Ne;;;2;;;2;;ZS-6-b;2;;;0;;
2;ZS/ZPM;Vjeronauka;S;6;V6;Prvi period;Da;pluralizamkaoproblem ZS-7-c, neprijateljstvo ZPM-7-a, ZPM-8-b, ZPM-8-c;Ne;;Ne;;;0;;;2;;ZS-9-a;2;;ZS-7-d;2;;ZS-7-b
3;ZS/ZPM;Vjeronauka;S;6;V6;Jevreji gone hrišćane;Da;neprijateljstvo ZS-9-c, ZPM-10-a;Ne;;Ne;;;0;;;2;;ZS-10-c;2;;;2;;ZS-9-c 
4;ZS/ZPM;Vjeronauka;S;6;V6;Obraćanje Salva u hrišćanstvo;Da;neprijateljstvo ZPM-11-a, ZPM-11-b, ZPM-11-c, pluralizamkaoproblem ZPM-11-d;Ne;;Ne;;;0;;;2;;ZS-11-d;2;;;2;;ZS-11-c
5;ZS/ZPM;Vjeronauka;S;6;V6;Propast Jerusalima;Da;neprijateljstvo ZPM-12-a, viktimologija ZPM-12-d;Ne;;Ne;;;2;;ZS-12-c ;2;;ZS-12-e;2;;;2;;
6;ZS/ZPM;Vjeronauka;S;6;V6;Apostolski sabor u Jerusalimu;Da;neravnopravnost ZS-13-a, pluralizamkaoproblem ZPM-13-a, netolerancija ZPM-13-c;Ne;;Ne;;;2;;;2;;ZS-13-b;2;;;0;;
7;ZS/ZPM;Vjeronauka;S;6;V6;Prvo misionarsko putovanje svetog apostola Pavla;Da;netolerancija ZPM-15-a, ZPM-15-b, pluralizamkaoproblem ZPM-15-c;Ne;;Ne;;;2;;;2;;;2;; ZS-15-a;0;;
8;ZS/ZPM;Vjeronauka;S;6;V6;Drugo misionarsko putovanje svetog apostola Pavla;Ne;;Ne;;Ne;;;2;;;2;;ZS-16;2;;;0;;
9;ZS/ZPM;Vjeronauka;S;6;V6;Treće misionarsko putovanje svetog apostola Pavla;Da;neprijateljstvo ZPM-18-b;Ne;;Ne;;;2;;;2;;;2;;;0;;
10;ZS/ZPM;Vjeronauka;S;6;V6;Gonjenje hrišćana od strane rimskih careva;Da;neravnopravnost ZS-19-f, viktimologija, nasilje ZPM-18-c, ZPM-19-b, ZPM-19-c;Da;sloboda ZS-19-e;Da;pobožnost;;2;;;2;;ZS-19-g;2;;;0;;
11;ZS/ZPM;Vjeronauka;S;6;V6;Car Konstantin I carica Jelena;Da;neravnopravnost ZS-20-c;Da;sloboda ZS-20-b;Da;pobožnost, prošlost;redukcija;2;;;2;;ZS-21;2;;;0;;
12;ZS/ZPM;Vjeronauka;S;6;V6;Drugi period (Prvi Vaseljenski sabor);Da;pluralizamkaoproblem ZPM-23-c;Ne;;Ne;;;2;;;2;;ZS-24-b;2;;ZS-24-a;2;;ZS-23
13;ZS/ZPM;Vjeronauka;S;6;V6;Drugi Valjesenski sabor;Ne;;Ne;;Ne;;;2;;ZS-25-a;2;;ZS-25-b;2;;;0;;
14;ZS/ZPM;Vjeronauka;S;6;V6;Treći I četvrti Vaseljenski sabor;Da;pluralizamkaoproblem ZPM-27-a;Ne;;Ne;;;2;;;2;;ZS-27-b;2;;ZS-27-a;0;;
15;ZS/ZPM;Vjeronauka;S;6;V6;Peti I šesti Vaseljevski sabor;Da;pluralizamkaoproblem ZPM-28-a;Ne;;Ne;;;2;;ZS-28-a;2;;ZS-28-b;2;;ZS-28-c;0;;
16;ZS/ZPM;Vjeronauka;S;6;V6;Sedmi Vaseljevski sabor;Da;neravnopravnost ZS-29-a;Ne;;Ne;;;0;;;2;;ZS-30-a;2;;;0;;
17;ZS/ZPM;Vjeronauka;S;6;V6;Islam - pojava I širenje;Ne;;Ne;;Ne;;;2;;;2;;;2;;ZS-30-c;0;;
18;ZS/ZPM;Vjeronauka;S;6;V6;"Monaštvo u crkvi Hristovoj; Monaštvo na Zapadu";Ne;;Da;jednakost ZPM-34-a;Da;pobožnost;redukcija, mistifikacija;2;;;2;;ZS-34-a;2;;ZS-31-b;2;;ZS-33-b
19;ZS/ZPM;Vjeronauka;S;6;V6;"Širenje hrišćanstva; Pokrštavanje Slovena, Ćirilo I Metodije";Ne;;Ne;;Ne;;;2;;;2;;ZS-36-b;2;;;0;;
20;ZS/ZPM;Vjeronauka;S;6;V6;Krštenje Srba;Ne;;Ne;;Ne;;;2;;ZPM-37-a;2;;ZS-37-b;2;;;0;;
21;ZS/ZPM;Vjeronauka;S;6;V6;Krštenje Rusa;Da;neravnopravnost ZS-37-c;Ne;;Ne;;;2;;;2;;ZS-39-a;2;;ZS-38-a;0;;
22;ZS/ZPM;Vjeronauka;S;6;V6;"Veliki crkveni raskoli; Nova učenja zapadne Crkve; Novi obredi u zapadnoj Crkvi";Da;neprijateljstvo ZS-41-a;Ne;;Ne;;;2;;ZS-39, ZS-40 ;2;;ZS-41-d;2;;ZS-39-b;0;;
23;ZS/ZPM;Vjeronauka;S;6;V6;Treći period: Pad Carigrada I stanje Pravoslavne crkve pod Turcima;Da;sukob, neprijateljstvo ZPM-43-b, ZPM-43-c;Ne;;Ne;;;2;;;2;;;2;;ZS-43-c;0;;
24;ZS/ZPM;Vjeronauka;S;6;V6;Pokušaj ujedinjenja crkava;Ne;;Ne;;Ne;;;0;;ZPM-45-c;2;;;2;;ZS-44-b;2;;
25;ZS/ZPM;Vjeronauka;S;6;V6;Reformacija u Njemačkoj I postanak luternastva;Da;neprijateljstvo ZPM-46-b,pluralizamkaoproblem ZPM-46-d;Ne;;Ne;;;1;ZS-46-a, ZS-46-b;;2;;;1;ZS-46-c;;2;;ZS-45-c
26;ZS/ZPM;Vjeronauka;S;6;V6;Istorija reformacije u Njemačkoj;Ne;;Ne;;Ne;;;2;;;2;;ZS-48-a;1;ZS-47-b ;;0;;
27;ZS/ZPM;Vjeronauka;S;6;V6;Pravoslavni svijet - Pravoslavna crkva danas;Ne;;Da;jednakost ZPM-50-a;Da;pobožnost, tradicija;redukcija;2;;;2;;ZS-48, ZS-49, ZS-50;2;;;0;;
28;ZS/ZPM;Vjeronauka;S;6;V6;"Arhiepiskopije u pravoslavnoj crkvi; Starokatolička crkva";Ne;;Ne;;Ne;;;0;ZPM-52-d;;2;;ZS-50;2;;;0;;
29;ZS/ZPM;Vjeronauka;S;6;V6;Najnoviji pokušaji papa da se ujedine pravoslavna I katolička crkva;Da;neprijateljstvo ZPM-53-c;Ne;;Ne;;;2;;;2;;ZS-53;2;;;0;;
30;ZS/ZPM;Vjeronauka;S;6;V6;Pravoslavna crkva I ekumenizam;Da;pluralizamkaoproblem ZS-55-a, ZPM-54-d;Da;saradnja ZPM-54-a;Da;pobožnost;redukcija, mistifikacija;2;;ZS-55-a;2;;;2;;ZS-54 ;2;;ZS-55-a
31;ZS/ZPM;Vjeronauka;S;6;V6;Pravoslavna crkva u dijaspori;Da;dominacija ZS-56, ZS-55-b, rasizam ZS-57a;Ne;;Ne;;;2;;ZS-57-b ;2;;;2;;ZS-56-a;0;;
1;ZPM/NI;Vjeronauka;H;8;V5;Radost odrastanja;Ne;;Da;sloboda ZPM-8-c,  NI-8-1, odgovornost ZPM-9-a, ZPM-9-d, NI-9-1, saradnja ZPM-9-g;Da;pobožnost NI-9-2;redukcija;1;NI-10-5;;1;ZPM-10-d, NI -10-4 ;;2;ZPM-10-c;NI-10-1, NI-10-2 ;2;;NI-8-3
2;ZPM/NI;Vjeronauka;H;8;V5;Prijateljstvo i ljubav;Da;religijskieksluzivizam ZPM-13-c, neravnopravnost NI-16-1, NI-22-1;Da;saradnja ZPM-11-c, ZPM-11-d, ZPM-12-a, ZPM-18-a, ZPM-18-b, NI-12-1, odgovornost ZPM-12-b, ZPM-12- c, ZPM-12-d, ZPM-15-a, ZPM-15-b, ZPM-15-c, ZPM-21-a , ZPM-21-c, ZPM-21-d, ZPM-22-a, NI-14-1, solidarnost ZPM-13-a, ZPM-13- b, ZPM-13- c, ZPM-13-h, život ZPM-14-e, ZPM-14 -d,  sloboda ZPM-19-a, NI-11, NI-17-4, ljubav NI-18-1;Da;pobožnost ZPM-13-b, ZPM-13-c, NI-15-1;redukcija;1;ZPM-17-b, ZPM-17- e, ZPM-19-a, ZPM-19-b, NI-12-3, NI-17-2, NI-17-3, NI-19-1, NI-22-4;NI-21-1, NI-21-2, NI-22-2 ;1;ZPM-13-e, ZPM-13-f, ZPM-13-g, ZPM-17-c, ZPM-17-d, NI -13-2;NI-16-3, NI-17-3, NI-20-1, NI-22-3;2;;NI-13-1, NI-16-4, NI-18-3, NI-21-3;2;;ZPM-13-c, ZPM-14-a, ZPM 14-b, ZPM-14-c, ZPM-14-d, ZPM-16-a, ZPM-16-h, NI-16-2
3;ZPM/NI;Vjeronauka;H;8;V5;Brak i celibat – oblici kršćanskog života;Da;neravnopravnost NI-23-2;Da;sloboda ZPM-23-a, ZPM 23 -b, ZPM-24-b, odgovornost ZPM-23-c, NI-23-3, NI-24-3;Da;pobožnost NI-23-4;redukcija;1;ZPM-25-b, ZPM-27-a, ZPM-27-b, ZPM-27-c, NI-23-1, NI-25-2, NI-27-2;;2;ZPM-25-b;NI-25-1, NI-27-1 ;2;ZPM-23-d, ZPM-25-a ;NI-24-1, NI-24-2, NI-25-3 ;2;;ZPM-23-f, ZPM-24-a, ZPM-25-c, ZPM-26-a
4;ZPM/NI;Vjeronauka;H;8;V5;Svaki čovjek traži Boga;Ne;;Da;jednakost ZPM-33-a, NI-33-1, sloboda NI-34-1;Da;pobožnost NI-34-5;redukcija;1;NI-32-2, NI-34-3, NI-37-2;ZPM-32-a;2;NI-32-3, NI-34-4, NI-37-1;NI-32-1,NI-33-1, NI-34-2, NI-35-1;2;NI-30-1;NI-30-2 , NI-30-3, NI-31-1, NI-36-1 ;2;;ZPM-31-a, ZPM 31-b, NI-31-2
5;ZPM/NI;Vjeronauka;H;8;V5;Ateizam i vjerska ravnodušnost;Da;sukob ZPM-39-a, ZPM-40-a;Ne;;Ne;;;2;;ZPM-40-b, NI-38-6, NI-40-3, NI-40-5;2;;NI-38-1, NI-38-2, NI-39-2, NI-40-1, NI-40-4;2;;ZPM-39-c, NI-38-3, NI-38-4, NI-38-5, NI-39-3, NI-39-5, NI-40-2;2;;ZPM-38-a ,ZPM-38-b, ZPM-39-b, NI-39-4
6;ZPM/NI;Vjeronauka;H;8;V5;Traženje Boga u novim religioznim pokretima;Ne;;Ne;;Ne;;;2;NI-49-4;ZPM-43-b, ZPM-49-b ,NI-41-2, NI-42-3, NI-43-1, NI-45-3, NI-47-2, NI-49-3 ;2;;NI-44-1, NI-46-1, NI-46-2, NI-46-3, NI-46-4, NI-47-1, NI-49-1;2;;NI-42-2, NI-44-2,  NI-45-2, NI-48, NI-49-2;2;;ZPM-41-a, ZPM-41-b, ZPM-48, ZPM-49, NI-41-1, NI-42-1, NI-42-4, NI-45-1
7;ZPM/NI;Vjeronauka;H;8;V5;Biblijska i današnja slika svijeta;Da;nejednakost ZPM-54-c;Da;saradnja ZPM-56-a,odgovornost ZPM-57-a;Da;pobožnost NI-58-2;redukcija, imputacija;1;ZPM-58-a, ZPM-60-a, NI-55, NI-58-4;ZPM-54-a, ZPM-54-b, ZPM-54-c, NI-52-1 ;2;ZPM-54-b ,ZPM-58-a, ZPM-58-b, ZPM-58-c, NI-60-3;ZPM-54-a, ZPM-54-b, ZPM-54-c, ZPM-56, NI-58-3, NI-60-2 ;1;ZPM-58-d, ZPM-60-a;NI-52-1, NI-53-1;2;;ZPM-52-a, ZPM-52-b 
8;ZPM/NI;Vjeronauka;H;8;V5;Čovjek je slika Božija;Da;nejednakost ZPM-61-a, ZPM-61-b;Da;jednakost ZPM-62-a, ZPM-62-b;Da;pobožnost;redukcija;1;NI-63-5;NI-63-4;1;ZPM-63-b, ZPM-63-d;NI-63-2;2;;NI-62-1, NI-63-1;2;;ZPM-63-a 
