Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
9;ZPM/NI;Vjeronauka;H;8;V5;Grijeh kao zloporaba slobode;Da;neprijateljstvo NI-66-1;Da;odgovornost ZPM-65-a, ZPM-65-b, NI-64-1, život NI-67-1;Da;pobožnost NI-67-2;redukcija;2;;NI-64-2, NI-66-3, NI-68-2;2;ZPM-66-c, ZPM-68-a;NI-66-2, NI-68-1, NI-68-3 ;2;;NI-65-1, NI-65-2;0;;
10;ZPM/NI;Vjeronauka;H;8;V5;Božja dobrota i ljubav prema griješnicima;Ne;;Ne;;Ne;;;2;;ZPM-72-a, ZPM-75-a, NI-71-1, NI-74-1;2;;NI-75;2;;NI-70-2;2;;ZPM-74-a
11;ZPM/NI;Vjeronauka;H;8;V5;Korijeni krišćanstva na hrvatskim prostorima;Da;viktimologija ZPM-79-b;Ne;;Ne;;;2;;ZPM-80-a, NI-79-3;2;;NI-80-2;2;;NI-79-2;0;;
12;ZPM/NI;Vjeronauka;H;8;V5;Pokrštavanja hrvata i ulazak u zajednicu kršćanskih naroda;Ne;;Ne;;Ne;;;2;NI-83-2;NI-86;2;;NI-81-1, NI-81-3, NI-81-4, NI-84-1, NI-87-1;1;NI-82-1;NI-81-2, NI-82-2, NI-81-1, NI-81-3;2;;ZPM-83-b
13;ZPM/NI;Vjeronauka;H;8;V5;Vjerski i društveni život Hrvata u srednjem vijeku;Da;viktimologija;Da;jednakost ZPM-88-a, sloboda ZPM-88-b, solidarnost, odgovornost NI-89-2;Da;pobožnost, tradicija, patrijarhat, teritorij;redukcija, mistifikacija;2;NI-90-3;NI-92-2, NI-93-4;2;;NI-90-1, NI-91-1, NI-91-2, NI-93-3;2;ZPM-89-f;NI-88-1, NI-89-1, NI-90-1, NI-92-1, NI-93-1, NI-93-2 ;2;;ZPM-91-a
14;ZPM/NI;Vjeronauka;H;8;V5;Uloga Crkve u promicanju školstva, kulture i znanosti;Ne;;Da;jednakost ZPM-99-b;Da;pobožnost;redukcija;1;NI-96-2, NI-96-3, NI-99-2;NI-97-1;2;;NI-96-1, NI-99-1;2;;NI-97-2, NI-98;0;;
15;ZPM/NI;Vjeronauka;H;8;V5;Crkva u Hrvata za vrijeme svjetskih ratova i poraća;Da;viktimologija;Da;jednakost NI-103-2;Ne;;;2;;NI-100-1, NI-102-3, NI-102-4;2;;NI-102-2, NI-105-1, NI-105-2;2;;NI-102-1, NI-103-1, NI-103-3, NI-104-1;2;;NI-100-2
16;ZPM/NI;Vjeronauka;H;8;V5;Katolička crkva u Hrvata danas;Da;viktimologija ZPM-107-a, ZPM-109-a;Da;mir NI-107-2, odgovornost NI-108-2, ZPM-108-a, ZPM-108-c;Da;pobožnost NI-108-1;redukcija;2;NI-108-4;NI-110;2;;NI-108-3, NI-111-1;0;;;0;;
17;ZPM/NI;Vjeronauka;H;8;V5;Prošao je zemljom čineći dobro;Da;pluralizamkaoproblem ZPM-119-a;Da;solidarnost ZPM-117-a, ZPM-117-e, mir NI-114-1, jednakost NI-114-2, NI-120-1, ZPM-115-b, ZPM-116-a, skromnost NI-115-1, odgovornost NI-119-2;Da;pobožnost;redukcija;2;;NI-119-3;1;ZPM-117-c, NI-120-2;NI-117-1;2;;NI-119-4 ;0;;
18;ZPM/NI;Vjeronauka;H;8;V5;Ljubio nas je do kraja;Ne;;Da;ljubav ZPM-121-a;Da;pobožnost;mistifikacija, redukcija;2;ZPM-127-b, NI-127-4;NI-123-2, NI-124-1, NI-124-4, NI-127-1;1; NI-124-2, NI-127-2 ;NI-127-3;2;;NI-121, NI-122, NI-123-1, NI-124-3, NI-125;0;;
19;ZPM/NI;Vjeronauka;H;8;V5;Ko je Isus Krist;Ne;;Da;jednakost ZPM-132-c ;Da;pobožnost;redukcija;2;;ZPM-130-a, NI-129-2, NI-129-3, NI-132-1, NI-133-2;2;NI-131-1;NI-129-1, NI-130-1 ;2;;NI-128, NI-131-2;0;;
20;ZPM/NI;Vjeronauka;H;8;V5;U potvrdi primamo Duha Svetoga;Ne;;Ne;;Ne;;;2;;ZPM-138-a, NI-139-1, NI-139-2;2;NI-141-2;NI-138-1;2;;NI-136-1, NI-141-1;0;;
21;ZPM/NI;Vjeronauka;H;8;V5;Duh božji u Svetom pismu;Ne;;Ne;;Ne;;;2;;NI-148;2;;NI-145, NI-147, NI-148;0;;;0;;
22;ZPM/NI;Vjeronauka;H;8;V5;Duh sveti u Crkvi;Ne;;Da;odgovornost ZPM-152-b ;Da;pobožnost NI-153-1;mistifikacija, imputacija;2;;NI-150-1, NI-150-3, NI-153-3;2;;NI-150-5, NI-150-6, NI-151-1, NI-153-2;2;;NI-149-1, NI-149-2, NI-149-3, NI-150-2;2;;ZPM-152-a, NI-150-4
23;ZPM/NI;Vjeronauka;H;8;V5;Izbor životnog zvanja;Ne;;Da;jednakost ZPM-157-b, odgovornost NI-156, saradnja NI-157, sloboda NI-158-2, ZPM-159-c;Da;pobožnost NI-159-1;insinuacija;1;ZPM-156-a, NI-159-3;;1;ZPM-159-b, NI-159-2;;1;ZPM-158-d;;1;ZPM-158-b;NI-158-1
24;ZPM/NI;Vjeronauka;H;8;V5;Rad i slobodno vrijeme;Ne;;Da;život ZPM-163-c, jednakost NI-162-1;Ne;;;2;;NI-160-3,  NI-163-2, NI-165, NI-166-1, NI-166-3;1;ZPM-160-b, ZPM-162-c;NI-160-4, NI-162-2;2;;NI-160-2;2;;NI-160-1, NI-163-1, NI-166-2
25;ZPM/NI;Vjeronauka;H;8;V5;Župa – zajednica vjere i života;Ne;;Ne;;Ne;;;2;;NI-168-2;2;;NI-169-1;2;;NI-167, NI-168-1;2;;
26;ZPM/NI;Vjeronauka;H;8;V5;Suodgovornost za pravedan život u društvu;Ne;;Da;odgovornost,  jednakost  ZPM-171-c, ZPM-171-d, ZPM-171-e, NI-170-1, NI-170-2, NI-170-3, NI-171-1, mir NI-172-1;Da;pobožnost NI-172-2;redukcija;1;ZPM-172-g, NI-172-4;;2;NI-172-5;NI-172-3;0;;;0;;
1;ZPM/NI;Vjeronauka;H;6;V1;Ja i drugi zajedno;Ne;;Da;život ZPM-7-a, odgovornost ZPM-7-b, ZPM-7-d, ZPM- 10-a, NI-8-1, jednakost ZPM- 9-a, NI-10-1, saradnja NI-7-1, NI-7-2, NI-8-2 , NI-9;Ne;;;1;ZPM-10-e, ZPM-10-g, ZPM-10-j, ZPM-k, ZPM-10-l, ZPM-10-m, NI-10-3, NI-10-7;NI-10-8;1;ZPM-8-b, NI-10-4 ,NI-10-5 , NI-10-6;;1;ZPM-10-b, ZPM-10-c, ZPM-10-d, NI-10-2;;0;ZPM-8-g;
2;ZPM/NI;Vjeronauka;H;6;V1;Pravila dobrih odnosa, poštovanja i zajedništva;Ne;;Da;odgovornost ZPM-11-a, ZPM- 11-e, ZPM-11-f, ZPM -13-b, ZPM-13-c, NI-13-1, solidarnost  ZPM-11-b, ZPM-11-c, ZPM-13-c, saradnja ZPM-11-e, ZPM-11-d, ZPM-12-b, ZPM-13-a, ZPM-13-b, NI-11-1, NI-11-3, život ZPM-11-d, ZPM-12-a, ZPM-12-c, sloboda ZPM-13-a;Da;pobožnost  NI-11-2;redukcija;1;ZPM-13-e, ZPM-13-f, NI-13-2;NI-13-4 ;1;ZPM-13-d, ZPM-13-e, ZPM-13-f, NI-13-3, NI-13-5;;1;NI-13-6;;0;;
3;ZPM/NI;Vjeronauka;H;6;V1;Šta je religija? Početak religije;Da;pluralizamkaoproblem, nejednakost, neravnopravnost;Da;solidarnost ZPM-15-a, ZPM-15-c, saradnja, jednakost ZPM-15-b, život ZPM-16-a, ZPM-16-b, ZPM-16-c, odgovornost ZPM-16-c ;Ne;;;1;ZPM-19-b, ZPM-19 -e, NI-19-4;NI-17;2;ZPM-19-c, NI-19-6;N-19-5, NI-19-7;1;ZPM-19-d, NI-18;;2;;NI-15-2
4;ZPM/NI;Vjeronauka;H;6;V1;Velike monoteističke religije: Židovstvo i Islam;Ne;;Da;saradnja ZPM-20-a, ZPM-21-a, ZPM-22-b, ZPM-23-f, NI-23-3, dostojanstvo ZPM-23-a, jednakost ZMP-23-b, život NI-20-1, saradnja ;Da;pobožnost NI-20-2;redukcija, imputacija;1;ZPM-23-d, NI- 23-1, NI-23-5;;1;ZPM-23-e, ZPM-23-f ;NI-23-4, NI-23-4;1;ZPM-23-c, NI-22;;0;;
5;ZPM/NI;Vjeronauka;H;6;V1;Kršćanstvo ;Ne;;Da;jednakost ZPM-24-a, NI-24-1;Da;pobožnost ZPM-24-a, NI-24-3;redukcija, mistifikacija;1;NI-25-1;;1;ZPM-25-b, ZPM-25-c;NI-25-2, NI-25- 3;0;;;0;;
6;ZPM/NI;Vjeronauka;H;6;V1;Različiti ali povezani;Ne;;Da;jednakost ZPM-26-a, ZPM-26-c, ZPM-26-d, ZPM-26-f, NI-27-1, NI-27-2, odgovornost ZPM- 27-a, NI-26-3, sloboda  ZPM-27-a,ZPM-27-b, saradnja NI-26-1, NI-26-2;Da;pobožnost ZPM-26-c, ZPM-26- d, ZPM-26-e, ZPM-26-f;redukcija;1;NI-27-3, NI-27-4,  NI-27-5, NI-27-6;;1;ZPM-27-d, ZPM-27-f, NI-27-7; NI-28;0;;;0;;ZPM-27-b 
7;ZPM/NI;Vjeronauka;H;6;V1;Biblija: posebna knjiga riječi i života;Ne;;Ne;;Ne;;;1;ZPM-31-b, ZPM-31-c, NI-31-4;;2;ZPM-31-b, NI-31-3;NI-31-2, NI-31-1;2;ZPM-30-a, ZPM-31-a, ZPM-31-c, ZPM-31-d;;0;;
8;ZPM/NI;Vjeronauka;H;6;V1;Kako upoznati i razumjeti Bibliju i koristiti se njome;Da;neravnopravnost NI-34-1 ;Da;solidarnost  ZPM-35-a, ZPM-36-c, odgovornost  ZPM-35-a, NI-36-3, NI-36-4, život ZPM-36-b, ZPM-36-c, jednakost  NI-37;Da;pobožnost  ZPM-35-a, ZPM-36-b;redukcija;1;ZPM-35-a, ZPM-40-a, NI-34-2, NI-40-2;;1;ZPM-34-a, ZPM-34-c, ZPM-40-b, ZPM-40-c, ZPM-40-d, ZPM-40-e, ZPM-40-f, NI-40-1, NI-40-3;NI-36-1, NI-40-4;2;ZPM-34-b, ZPM-35-b, ZPM-36-c;NI-36-2;0;;
9;ZPM/NI;Vjeronauka;H;6;V1;Život i vjera ljudi u “plodnom polumjesecu”;Ne;;Da;život ZPM-42-a, ZPM-42-b, ZPM-42-c, ZPM-42-d, ZPM-42-e;Da;tradicija ZPM-42-a, ZPM-42-b, ZPM-44-c, pobožnost ZPM-42-a;redukcija ZPM-42;1;ZPM-42-e, ZPM- 44-a, ZPM-44-c, ZPM-44-d, NI-44-1, NI-44-2, NI-44-3;;1;ZPM-42-a, ZPM-42-e, ZPM-44-b, ZPM-44-f, NI- 44-4;;2;ZPM-44-e;NI-44-1 NI-44-2;0;;
10;ZPM/NI;Vjeronauka;H;6;V1;Abraham, brak i Jakov;Da;sukob ZPM-45, ZPM-50-a, pokornost;Da;sloboda ZPM-46-a, odgovornost ZPM-46-a, jednakost ZPM-53-a, ZPM-53-c, solidarnost  ZPM-50-c, život ZPM-53-b, NI-55;Da;pobožnost  ZPM-46-b, ZPM-46-c, ZPM-53-b, ZPM-55-a;redukcija;1;ZPM-54-b, NI-53, NI-54-1;;2;ZPM-54-a, ZPM-54-b, ZPM-54-c, ZPM-54-d, NI-54-4;NI-52-1,  NI-54-2 ,NI-54-3;2;ZPM-54-c, ZPM-55, NI-50-3 ;NI-50-2;0;;
11;ZPM/NI;Vjeronauka;H;6;V1;Davidovo vrijeme: prvi kraljevi;Da;neravnopravnost NI-57-1;Da;jednakost, sloboda  ZPM-58-a, odgovornost ZPM-58-b, ZPM-59-a, život ZPM-59-c;Da;pobožnost  ZPM-58-a, ZPM-58-b, ZPM-59-a, ZPM-59-b, ZPM-59-c, ZPM-59-d;redukcija;2;ZPM-56-a, ZPM-59-b;NI-57-2;2;ZPM-59-c;NI-59-3;0;NI-59-1;;0;;
12;ZPM/NI;Vjeronauka;H;6;V1;Davidov životni put – moć i odgovornost;Da;nasilje NI-62-1, NI-62-2;Da;jednakost ZPM-63-a, život ZPM-63-b, solidarnost ZPM-64-a, ZPM-65-b, ZPM-68-a, saradnja NI-67 ;Da;pobožnost ZPM-64-a, ZPM-64-b, ZPM-68-a, ZPM-68-b, ZPM-68-c, ZPM-68-d, ZPM-68-e;redukcija;2;ZPM-68-a, ZPM-68-d;NI-63-2;1;ZPM-68-c, ZPM-68-e, NI-68-1, NI-68-3;NI-66, NI-68-2, NI-68-4;2;ZPM-63-a, ZPM-63-b ;;0;;
13;ZPM/NI;Vjeronauka;H;6;V1;Mudrost kralja Salmona;Da;okrutnost  NI-69-4, NI-69-5, NI-69-6;Da;život  ZPM-72-a, ZPM-72-b;Ne;;;2;ZPM-71-a, ZPM-71-c, NI-71-4;NI-69-1, NI-69-2, NI-69-3;2;ZPM-71-b;NI-71-1, NI-71- 2;1;ZPM-70-a, NI-70;;0;;
14;ZPM/NI;Vjeronauka;H;6;V1;Isus Krist – ostvaritelj novoga svijeta;Ne;;Da;život  ZPM-76-a, ZPM-76-b, ZPM-76-d, ZPM-77-a, ZPM-79-a, jednakost ZPM-76-b, ZPM- 76-c, ZPM-76-e, ZPM-76-f, ZPM-77-a, ZPM- 80-b, NI-77, odgovornost ZPM-76-c, ZPM-76-g, ZPM-77-a, ZPM-79-a, NI-79-1,NI-79-2,NI-79-3, solidarnost ZPM-76-g, ZPM- 76-h, ZPM-79-b;Da;pobožnost ZPM-76-a, ZPM-76-b, ZPM-76-c, ZPM-76-d, ZPM-76-e, ZPM-76-f, ZPM-76- g, ZPM-76-h, ZPM-77-a, ZPM-79-a, ZPM-79-b, ZPM-79-c, ZPM-80-d, NI-78;redukcija;1;ZPM-80-b, ZPM-80-c, ZPM-80-d, NI-80-1, NI-80-3 ;NI-75, NI-80-5;1;ZPM-80-e, ZPM-80-f, NI- 80-4;NI-80-2;2;ZPM-80-a;;0;;
15;ZPM/NI;Vjeronauka;H;6;V1;Isus prema drugima – susreti mogu promijeniti ;Ne;;Da;jednakost ZPM-81-a, ZPM-81-b, odgovornost  ZPM-81-a, ZPM-81-c, ZPM-81-d, ZPM-81-e, ZPM-84-a, ZPM-84-b, ZPM-84-c, život ZPM-83-a, ZPM-84-b;Da;pobožnost ZPM-81-a, ZPM- 81-b, ZPM-81-c, ZPM-81-d, ZPM-81-e, ZPM-83-a, ZPM- 84-a, NI-81-2;redukcija;1;ZPM-84-c, ZPM-84-e, ZPM-84-f, NI-80-3, NI-83-3, NI-83-5 ;NI-83-4;1;ZPM-84-d, ZPM-84-g, NI-83 ;NI-83-2;1;ZPM-82-a, NI-84-1;;0;ZPM-84-c;
16;ZPM/NI;Vjeronauka;H;6;V1;Isusovi učenici – svjedoci istine i ljubavi;Da;neravnopravnost NI-85;Da;mir ZPM-85-a, jednakost ZPM-86-a, ZPM-86-d, odgovornost  ZPM-86-b, ZPM-86-c, ZPM-86-d, ZPM-86-h, solidarnost ZPM-86-e ;Da;pobožnost ZPM-85-a, ZPM-86-c, ZPM-86-e;redukcija;0;ZPM-86-f;;1;ZPM-86-g, ZPM-86-h, NI-86-7;NI-86-6;1;NI-86-4;;0;;
17;ZPM/NI;Vjeronauka;H;6;V1;Život prvih kršćana;Da;okrutnost  ZPM-89, neravnopravnost ZPM- 88 ;Da;odgovornost ZPM-89-a, ZPM-91-a, jednakost ZPM-89-b, NI-91-2, saradnja ZPM-90-b;Da;pobožnost ZPM- 89-a, ZPM-89-b, NI-91-2;redukcija ZPM-88, ZPM-89-c;2;ZPM-91-b, ZPM-91-d;NI-90, NI-91-1;2;ZPM-91-c, ZPM-91-e;NI-91-3;0;;;0;;
18;ZPM/NI;Vjeronauka;H;6;V1;Život apostola Petra;Ne;;Ne;;Ne;;;2;ZPM-95-a, ZPM-95-c, ZPM-95-e;NI-94 ;2;ZPM-95-b, ZPM-95-d, NI-95-2 ;NI-95-1;0;;;0;;
19;ZPM/NI;Vjeronauka;H;6;V1;Život apostola Pavla;Da;okrutnost NI-101, neravnopravnost NI-102-4 ;Da;jednakost ZPM-102-a, ZPM-102-b, ZPM-102-c, NI-102-2, saradnja ZPM-103-a;Da;pobožnost ZPM-102-a, ZPM-102-b, ZPM-102-c, ZPM-103-a, NI-102-1;redukcija;2;ZPM-102-e, NI-102-3, NI-102-6, NI-102- 8;NI-96-1, NI-96-2, NI-99;2;ZPM-102-c, ZPM-102-d;NI-102-5, NI-102-7, NI-102-9;0;ZPM-103-a ;;0;;
20;ZPM/NI;Vjeronauka;H;6;V1;Biti Kristov učenik – poziv i poslanje;Ne;;Da;odgovornost ZPM-105-a;Da;pobožnost ZPM-105-a, ZPM-106-c, ZPM-106-d, ZPM-106-e;;2;NI-104-1;NI-104-2 ;2;ZPM-106-b, ZPM-106-c, ZPM-106-d, ZPM-106-e, NI-106-4;NI-106-1, NI-106-2, NI-106-3, NI-106-5;0;;;0;;
21;ZPM/NI;Vjeronauka;H;6;V1;Uzori vjere u hrvatskom narodu;Ne;;Da;jednakost NI-109-2, NI-109-3;Da;pobožnost  ZPM-107-a, ZPM-109-b, ZPM-109-c, ZPM-110, NI-109-1;redukcija, mistifikacija ;2;ZPM-110-b, ZPM-110-d ;NI-107-2, NI-108, NI-109-3;2;ZPM-110-c, NI-110-2, NI-110-3;NI-110-1 ;0;;;0;;
22;ZPM/NI;Vjeronauka;H;6;V1;Kada i gdje se pojavljuje molitva;Da;neravnopravnost ZPM-115-b;Ne;;Ne;;;2;ZPM-115-c, ZPM-115-d;NI-113-1;2;ZPM-115-e, ZPM-115-f;NI-115-3;2;;NI-115-2;0;;
23;ZPM/NI;Vjeronauka;H;6;V1;Kršćanska molitva – oblici, načini i vrijeme molitve;Ne;;Da;odgovornost ZPM-116-a, solidarnost ZPM-123-a, ZPM-123-b, NI-119;Da;pobožnost ZPM-116-a, ZPM-119-a;redukcija;1;ZPM-123-f, ZPM-123-g, ZPM-123-h, NI-123-4;;2;ZPM-123-c, ZPM-123-e;NI-122, NI-123-3, NI-123-5;1;ZPM-119-a, NI-118, NI-123-1;NI-123-2 ;0;;
24;ZPM/NI;Vjeronauka;H;6;V1;Vjerski život židova, muslimana i pripadnika drugih religija;Ne;;Ne;;Ne;;;1;ZPM-128-a, ZPM-128-f, NI-128-2;;2;ZPM-128-d, ZPM-128-e, NI-128-3;NI-128-1;0;;;0;;
25;ZPM/NI;Vjeronauka;H;6;V1;Biblija u umjetnosti;Ne;;Ne;;Ne;;;1;ZPM-133-a, ZPM-133-b, ZPM-133-c, ZPM-133-d, ZPM-133-e, ZPM-133-f, NI-133-1;NI-133-3;2;ZPM-133-g;NI-129-1, NI-129-2, NI-130-4, NI-130-5, NI-130-6, NI-131-1, NI-131-2;1;ZPM-129-a, ZPM-132-a, ZPM-132-b, ZPM-133-c, ZPM-133-d, NI-130-1, NI-130-2, NI-130-3;;0;;
26;ZPM/NI;Vjeronauka;H;6;V1;Dijelovi svijeta u kojima se Kršćanstvo intenzivno širi;Ne;;Da;odgovornost, solidarnost  ZPM-135-a, ZPM-135-b, NI-135-1;Ne;;;1;ZPM-135-c, ZPM-135-e, NI-135-2;NI-134-2;2;ZPM-135-d;NI-135-3;1;NI-134-1;;0;;
1;ZS/NI;Vjeronauka;H;7;V3;Jedinstveni smo i upućeni na druge;Ne;;Da;sloboda ZS-9-a, ZS-9-b, jednakost ZS-9-c, solidarnost ZS-10-a, saradnja NI-8-1,NI-8-2, NI-9-3;Da;pobožnost NI-10-1 ;redukcija ;1;ZS-10-c;;2;;ZS- 10-b;2;;;0;;
2;ZS/NI;Vjeronauka;H;7;V3;Izazovi u pubertetu;Ne;;Da;sloboda ZS-14-a, saradnja, život ZS-14-b, odgovornost NI-16-2;Da;pobožnost ZS-14-a;imputacija ZS- 17, redukcija NI;1;ZS-18-a;NI-16-1;1;;;1;NI-15 ;;0;;
3;ZS/NI;Vjeronauka;H;7;V3;Idoli i ideali u izgradnji osobnosti;Da;neravnopravnost NI-12-1;Da;sloboda ZS-21  ;Ne;;;2;;NI-21, NI-19;2;;ZS-22-b, ZS-22-c;2;;NI-22-2;2;;NI-20-1
4;ZS/NI;Vjeronauka;H;7;V3;Zamke savremenih ovisnosti;Da;neravnopravnost NI-29-1 ;Ne;;Ne;;;2;;NI-29-2;2;;;2;ZS-29-b ;;2;;ZS-27-a, ZS-28-a, NI-26-1
5;ZS/NI;Vjeronauka;H;7;V3;Savjest – Božiji glas u čovjeku;Ne;;Da;sloboda, jednakost ZS-33-a, odgovornost NI-34-1;Da;pobožnost ZS-33-a, NI-34-2;redukcija, mistifikacija, imputacija;2;;NI-32;2;NI-34-3;ZS-34-b ;2;;ZS-34-a;2;;ZS-33-b
6;ZS/NI;Vjeronauka;H;7;V3;Božije zapovijedi – put u slobodu;Da;neodgovornost ZS- 39-a, neravnopravnost NI-35-2;Da;život, mir, sloboda, sigurnost ZS-37-b, mir ZS-38-a, saradnja, jednakost, solidarnost ZS-38-b, NI-39-1;Da;pobožnost ZS-35,  ZS-40-a, NI-39-2, NI-40-2;ignorancija ZS-37-a, imputacija ZS-38-c, redukcija NI;1;NI-40-2, NI-40-3;;2;;NI-40-1;1; NI-37;ZS-40-b, NI-35-1;0;;
7;ZS/NI;Vjeronauka;H;7;V3;Ljubav prema Bogu;Ne;;Ne;;Ne;;;2;;ZS- 47-c;2;NI-47-2, NI-47-4;ZS-47a, ZS-47-b, NI-47-1 ;2;;;0;;
8;ZS/NI;Vjeronauka;H;7;V3;Poštivanje roditelja i starijih;Da;neodgovornost  ZS-50, neravnopravnost  NI-48-2;Da;solidarnost NI-48-1;Da;pobožnost NI-50-1;redukcija;2;;;2;;ZS-49-b, ZS- 50-b ;2;;ZS-48, ZS- 49-a;2;;NI-49-1
9;ZS/NI;Vjeronauka;H;7;V3;Svetost ljudskog tijela;Ne;;Da;život ZS- 51-b, ZS- 52-b, NI-51-2, odgovornost ZS-53-a, jednakost, mir ZS-53;Da;pobožnost NI-51-3;ignorancija ZS-51-a, imputacija ZS-51-c, redukcija ZS-52-a;2;;ZS-52-c, NI-52-3, NI-54-1;2;;ZS-54-b;2; NI-52-2 ;NI-51-1, NI-52-1, NI-52-4, NI-52-5 ;2;;NI-53-1, NI-52
10;ZS/NI;Vjeronauka;H;7;V3;Dostojanstvo ljudskog tijela;Da;neravnopravnost NI-57-1, NI- 59-2;Da;jednakost ZS-56-b;Da;pobožnost;insinuacija ZS-57-a;2;;ZS-60-c, NI-59-1;2;;NI-56-3, NI-60-1;2;;ZS- 60-b, ZS-56-a, NI-56- 2, NI-60-2;2;;ZS-59, ZS-60-a, NI-57-2 
11;ZS/NI;Vjeronauka;H;7;V3;Poštivanje tuđe imovine;Ne;;Da;odgovornost ZS-61-b, solidarnost ZS-61-c, ZS-61-d, ZS-62-c, NI-62-4, NI-62-3, jednakost ZS-62-a, NI-61-4, saradnja ZS-62-b, NI-61-3 ;Ne;;;1;ZS-65-b  ;;2;;ZS- 65-a;0;;;2;;ZS-64-a, ZS-64-b
12;ZS/NI;Vjeronauka;H;7;V3;Poziv na istinoljubivost;Ne;;Da;jednakost ZS-67-a, NI-66-3, sloboda ZS-67-b, odgovornost NI-66-2, NI-66-4, NI-67-1, saradnja NI-66-1;Ne;;;2;ZS-67-c;NI-67-3, NI-67-5;2;;ZS-67-d;0;;;0;;
13;ZS/NI;Vjeronauka;H;7;V3;Judaizam;Ne;;Da;saradnja ZS-68;Ne;;;2;;ZS-79-b, NI-72, NI-79-2 ;2;NI-79-4, NI-79-6;ZS-79-a ;1;ZS-72, ZS-74;;2;;ZS-75, ZS-76
